N,Triton,Torch
256.000000,455.111095,431.157914
384.000000,722.823517,646.736871
512.000000,862.315828,780.190482
640.000000,1024.000026,930.909084
768.000000,1068.521715,945.230780
896.000000,1146.880029,1061.925924
1024.000000,1213.629628,1129.931006
1152.000000,1316.571411,1189.161306
1280.000000,1365.333368,1241.212112
1408.000000,1453.419374,1287.314251
1536.000000,1489.454534,1328.432375
1664.000000,1521.371388,1401.263220
1792.000000,1592.888833,1470.359025
1920.000000,1616.842177,1498.536610
2048.000000,1680.410315,1524.093023
2176.000000,1698.341491,1547.377754
2304.000000,1755.428585,1568.680806
2432.000000,1768.727259,1621.333276
2560.000000,1780.869526,1638.400041
2688.000000,1830.127607,1654.153865
2816.000000,1839.020468,1700.226423
2944.000000,1884.160048,1712.872714
3072.000000,1890.461560,1787.345441
3200.000000,1932.075481,1796.491193
3328.000000,1936.290894,1836.137885
3456.000000,1974.857116,1843.200047
3584.000000,2012.070136,1880.131184
3712.000000,2047.999949,1915.870994
3840.000000,2048.000052,1981.935511
3968.000000,2081.573811,1984.000005
4096.000000,2114.064545,2016.492302
4224.000000,2112.000005,2047.999984
4352.000000,2142.523071,2078.567138
4480.000000,2172.121195,2108.235257
4608.000000,2200.835793,2106.514229
4736.000000,2228.705843,2134.535145
4864.000000,2255.768066,2192.225284
4992.000000,2282.057082,2188.273886
5120.000000,2307.605562,2214.053958
5248.000000,2332.444362,2239.146560
5376.000000,2356.602647,2263.579048
5504.000000,2380.108004,2258.051360
5632.000000,2402.986553,2281.316524
5760.000000,2425.263266,2304.000058
5888.000000,2415.589827,2326.123505
6016.000000,2436.860832,2347.707356
6144.000000,2457.600062,2368.771113
6272.000000,2477.827212,2361.223539
6400.000000,2497.561017,2381.395349
6528.000000,2516.819308,2401.103439
6656.000000,2535.619068,2420.363617
6784.000000,2553.976480,2439.190983
6912.000000,2571.906976,2457.599963
7040.000000,2589.425277,2475.604349
7168.000000,2577.258397,2466.408539
7296.000000,2594.133294,2483.744609
7424.000000,2610.637314,2500.715709
7552.000000,2626.782550,2517.333244
7680.000000,2642.580578,2507.755184
7808.000000,2658.042476,2549.551104
7936.000000,2673.178861,2539.520064
8064.000000,2687.999905,2554.930748
8192.000000,2702.515563,2570.039262
8320.000000,2610.196126,2584.854407
8448.000000,2650.352989,2574.628592
8576.000000,2664.388389,2613.638116
8704.000000,2704.155379,2603.065424
8832.000000,2717.538492,2616.888884
8960.000000,2730.666688,2606.545434
9088.000000,2743.547183,2668.036685
9216.000000,2756.186920,2656.864836
9344.000000,2768.592588,2646.088452
9472.000000,2780.770629,2682.336239
9600.000000,2818.348610,2671.304289
9728.000000,2804.468438,2683.586140
9856.000000,2815.999961,2695.658045
9984.000000,2827.327387,2707.525342
10112.000000,2838.456085,2696.533401
10240.000000,2849.391241,2708.099234
10368.000000,2860.137860,2719.475462
10496.000000,2870.700775,2730.666550
10624.000000,2881.084659,2719.743871
10752.000000,2891.294200,2730.666688
10880.000000,2901.333407,2741.417180
11008.000000,2911.206676,2752.000007
11136.000000,2920.918089,2762.418760
11264.000000,2930.471419,2772.676916
11392.000000,2939.871008,2782.778766
11520.000000,2949.119860,2771.729446
11648.000000,2958.222246,2781.611905
11776.000000,2967.180948,2791.348256
11904.000000,2976.000008,2780.496443
12032.000000,2984.682339,2790.028924
12160.000000,2993.230761,2799.424538
12288.000000,2978.909068,2808.685639
12416.000000,2987.308403,2817.815667
12544.000000,2995.582051,2826.816813
12672.000000,3003.733450,2835.692358
