N,Triton,Torch
256.000000,372.363633,585.142849
384.000000,558.545450,768.000002
512.000000,862.315828,910.222190
640.000000,1024.000026,930.909084
768.000000,1023.999964,1023.999964
896.000000,1102.769243,1061.925924
1024.000000,1129.931006,1092.266694
1152.000000,1084.235275,614.400016
1280.000000,1137.777738,660.645170
1408.000000,1185.684263,726.709687
1536.000000,1228.800031,780.190482
1664.000000,1267.809534,806.787872
1792.000000,1274.311092,855.880586
1920.000000,1335.652144,903.529396
2048.000000,1337.469431,949.797080
2176.000000,1289.481479,980.732364
2304.000000,1293.473659,1023.999964
2432.000000,1319.050808,1051.675630
2560.000000,1342.950846,1092.266615
2688.000000,1344.000003,1117.090953
2816.000000,1365.333323,1155.282091
2944.000000,1365.333303,1177.600030
3072.000000,1346.630084,1213.629655
3200.000000,1329.870182,1219.047629
3328.000000,1314.765459,1252.894122
3456.000000,1332.433751,1271.172409
3584.000000,1318.252868,1288.629199
3712.000000,1319.822202,1319.822202
3840.000000,1321.290289,1335.652144
3968.000000,1322.666620,1350.808472
4096.000000,1323.959634,1365.333285
4224.000000,1287.314296,1165.241350
4352.000000,1289.481479,1170.285747
4480.000000,1279.999982,1184.793415
4608.000000,1282.226059,1208.655761
4736.000000,1273.546255,1212.415942
4864.000000,1265.430840,1235.301597
4992.000000,1277.951939,1248.000003
5120.000000,1270.077591,1260.307689
5248.000000,1253.253715,1272.242414
5376.000000,1246.608668,1293.473742
5504.000000,1249.134780,1304.651902
5632.000000,1242.924154,1334.992644
5760.000000,1245.405351,1335.652144
5888.000000,1247.788078,1355.510829
6016.000000,1250.077971,1365.333364
6144.000000,1252.280237,1394.383010
6272.000000,1231.312851,1393.777728
6400.000000,1226.347264,1402.739671
6528.000000,1228.800005,1411.459398
6656.000000,1224.091949,1410.543045
6784.000000,1226.485914,1437.668872
6912.000000,1228.799981,1455.157959
7040.000000,1231.038275,1472.418292
7168.000000,1239.870289,1470.359025
7296.000000,1209.699483,1487.082782
7424.000000,1205.928927,1494.138338
7552.000000,1208.320031,1501.018600
7680.000000,1210.640375,1517.037069
7808.000000,1207.033790,1514.278743
7936.000000,1215.081309,1520.670608
8064.000000,1211.492920,1531.442114
8192.000000,1219.274460,1533.005786
8320.000000,1199.279266,1416.170172
8448.000000,1196.176971,1415.371734
8576.000000,1198.393026,1393.055829
8704.000000,1170.285747,1406.707111
8832.000000,1195.027502,1420.221092
8960.000000,1194.666697,1419.405971
9088.000000,1196.773652,1425.568653
9216.000000,1203.722435,1438.595094
9344.000000,1186.539692,1430.660251
9472.000000,1184.000003,1443.352392
9600.000000,1181.538458,1449.056611
9728.000000,1183.635006,1454.654208
9856.000000,1181.243464,1453.419399
9984.000000,1187.687684,1465.541277
10112.000000,1198.459176,1498.074072
10240.000000,1202.495375,1489.454534
10368.000000,1178.600398,1487.784784
10496.000000,1182.647851,1512.936921
10624.000000,1176.359908,1491.087690
10752.000000,1174.279903,1502.462899
10880.000000,1176.216165,1513.739097
11008.000000,1178.113686,1511.828334
11136.000000,1179.973508,1516.391492
11264.000000,1195.515768,1527.321988
11392.000000,1187.439703,1531.697522
11520.000000,1168.431003,1536.000039
11648.000000,1168.451362,1540.231439
11776.000000,1170.285688,1544.393472
11904.000000,1175.703728,1554.808145
12032.000000,1173.853678,1558.801689
12160.000000,1172.048207,1562.730897
12288.000000,1177.293374,1467.223862
12416.000000,1165.137808,1455.355245
12544.000000,1163.501423,1454.376779
12672.000000,1155.282067,1448.228533
