N,Triton,Torch
256.000000,372.363633,585.142849
384.000000,491.520012,768.000002
512.000000,744.727267,963.764689
640.000000,853.333303,975.238103
768.000000,877.714274,1023.999964
896.000000,924.903238,1061.925924
1024.000000,992.969689,1092.266694
1152.000000,1117.090900,614.400016
1280.000000,1137.777738,660.645170
1408.000000,1185.684263,726.709687
1536.000000,1198.829288,780.190482
1664.000000,1238.325581,806.787872
1792.000000,1274.311092,868.848478
1920.000000,1307.234005,917.014914
2048.000000,1310.720033,963.764689
2176.000000,1289.481479,980.732364
2304.000000,1316.571411,1023.999964
2432.000000,1341.793070,1066.082150
2560.000000,1321.290340,1092.266615
2688.000000,1344.000003,1131.789524
2816.000000,1365.333323,1155.282091
2944.000000,1385.411740,1192.506365
3072.000000,1384.563337,1213.629655
3200.000000,1402.739671,1219.047629
3328.000000,1401.263220,1252.894122
3456.000000,1417.846203,1285.953488
3584.000000,1415.901264,1303.272717
3712.000000,1431.132547,1305.318657
3840.000000,1428.837209,1335.652144
3968.000000,1442.909080,1336.589431
4096.000000,1456.355533,1365.333285
4224.000000,1379.265351,1175.373887
4352.000000,1392.640035,1180.203354
4480.000000,1405.490222,1194.666697
4608.000000,1417.846170,1208.655761
4736.000000,1416.373834,1222.193565
4864.000000,1441.185183,1235.301597
4992.000000,1439.135120,1257.826706
5120.000000,1424.695621,1280.000003
5248.000000,1435.350388,1281.954263
5376.000000,1433.600036,1303.272717
5504.000000,1443.672159,1324.270736
5632.000000,1441.791932,1334.992644
5760.000000,1451.338507,1355.294094
5888.000000,1460.589229,1365.333303
6016.000000,1458.424231,1375.085678
6144.000000,1472.719124,1394.383010
6272.000000,1475.764680,1393.777728
6400.000000,1484.057938,1412.413811
6528.000000,1481.531948,1430.794464
6656.000000,1479.111059,1439.135072
6784.000000,1486.904051,1456.966448
6912.000000,1484.456381,1464.794700
7040.000000,1491.920528,1472.418292
7168.000000,1489.454604,1479.845147
7296.000000,1506.270953,1487.082782
7424.000000,1494.138338,1494.138338
7552.000000,1496.371449,1510.400038
7680.000000,1517.037069,1517.037069
7808.000000,1505.156645,1523.512220
7936.000000,1502.674500,1529.831344
8064.000000,1500.279070,1536.000012
8192.000000,1506.574707,1542.023535
8320.000000,1446.956490,1439.135157
8448.000000,1445.647076,1437.957405
8576.000000,1452.021176,1429.333283
8704.000000,1435.711393,1443.150260
8832.000000,1449.353842,1434.639585
8960.000000,1462.857191,1448.080850
9088.000000,1461.386921,1454.080037
9216.000000,1467.223862,1467.223862
9344.000000,1465.725517,1465.725517
9472.000000,1464.270499,1471.378662
9600.000000,1476.923094,1476.923094
9728.000000,1475.336451,1482.361917
9856.000000,1463.535986,1480.713569
9984.000000,1458.849354,1499.943615
10112.000000,1470.836352,1505.041911
10240.000000,1476.036020,1517.037034
10368.000000,1481.142837,1514.958945
10496.000000,1486.159267,1512.936921
10624.000000,1478.121706,1517.714265
10752.000000,1457.898261,1522.407054
10880.000000,1462.857184,1530.373622
11008.000000,1492.610124,1531.547792
11136.000000,1484.800038,1542.649363
11264.000000,1483.325089,1546.987132
11392.000000,1490.977511,1544.677919
11520.000000,1498.536521,1555.443037
11648.000000,1496.931701,1559.564848
11776.000000,1501.322767,1557.157059
11904.000000,1499.716457,1561.180358
12032.000000,1492.341169,1565.138144
12160.000000,1479.543757,1569.032279
12288.000000,1506.574665,1467.223862
12416.000000,1510.692047,1450.043844
12544.000000,1509.052699,1449.126282
12672.000000,1513.074608,1448.228533
