size,Triton,Torch
4096.000000,6.000000,6.000000
8192.000000,13.714286,13.714286
16384.000000,27.428571,27.428571
32768.000000,54.857142,54.857142
65536.000000,96.000000,109.714284
131072.000000,192.000000,192.000000
262144.000000,341.333321,341.333321
524288.000000,558.545450,558.545450
1048576.000000,877.714274,819.200021
2097152.000000,1023.999964,983.040025
4194304.000000,1260.307736,1228.800031
8388608.000000,1467.223862,1467.223862
16777216.000000,1624.859540,1624.859540
33554432.000000,1709.634745,1698.557221
67108864.000000,1755.428547,1751.518877
134217728.000000,1779.257961,1771.243224
